gp_idx,reward_type,final_position,total_time,points,changed_compound
0,mix,9,5710.12043638955,2,True
0,mix,5,5677.973750608833,10,True
0,mix,6,5675.5956031052165,8,True
0,mix,3,5600.270318430515,15,True
0,mix,9,5693.741090596716,2,True
0,mix,9,5719.337479652726,2,True
0,mix,11,5692.516902038889,0,True
0,mix,8,5677.029367004741,4,True
0,mix,2,5633.758513922595,18,True
0,mix,2,5618.339611816569,18,True
0,mix,5,5660.714217888435,10,True
0,mix,9,5670.373809564718,2,True
0,mix,5,5640.57487038701,10,True
0,mix,5,5653.26715644534,10,True
0,mix,8,5681.615497522314,4,True
0,mix,1,5604.374721237719,25,True
0,mix,4,5622.767032842124,12,True
0,mix,6,5664.463794851801,8,True
0,mix,13,5715.557655535438,0,True
0,mix,3,5614.842460567661,15,True
0,mix,4,5628.779014242842,12,True
0,mix,15,5719.947883120303,0,True
0,mix,10,5706.598141335832,1,True
0,mix,12,5752.718702819775,0,True
0,mix,8,5636.733516514022,4,True
0,mix,11,5732.327961299209,0,True
0,mix,4,5672.957450893761,12,True
0,mix,10,5679.057943110675,1,True
0,mix,5,5628.458767373823,10,True
0,mix,6,5647.910741156467,8,True
0,mix,13,5707.699918516144,0,True
0,mix,10,5700.75046033574,1,True
0,mix,9,5698.578968082637,2,True
0,mix,14,5756.175555164489,0,True
0,mix,8,5664.842787379074,4,True
0,mix,14,5732.5441094562575,0,True
0,mix,6,5662.946941078211,8,True
0,mix,6,5693.986868606581,8,True
0,mix,8,5669.877451659546,4,True
0,mix,5,5652.055687326533,10,True
0,mix,7,5658.18896767858,6,True
0,mix,8,5698.2702457678415,4,True
0,mix,9,5698.309476791167,2,True
0,mix,7,5669.691556055222,6,True
0,mix,15,5746.726757150552,0,True
0,mix,8,5695.091313427911,4,True
0,mix,4,5655.01386564569,12,True
0,mix,8,5677.7209863648995,4,True
0,mix,4,5646.459931884171,12,True
0,mix,4,5631.8554889601855,12,True
0,mix,12,5722.375272530351,0,True
0,mix,5,5607.160990397387,10,True
0,mix,6,5639.536904343507,8,True
0,mix,6,5653.128518726904,8,True
0,mix,9,5705.019081996402,2,True
0,mix,10,5681.151989137101,1,True
0,mix,11,5695.368735228961,0,True
0,mix,9,5674.856182105728,2,True
0,mix,19,5740.406100801565,0,True
0,mix,11,5687.515674083863,0,True
0,mix,4,5622.075894595695,12,True
0,mix,7,5652.70817549704,6,True
0,mix,6,5675.407581916759,8,True
0,mix,11,5700.960045301061,0,True
0,mix,5,5635.0501696745805,10,True
0,mix,5,5629.2551237150765,10,True
0,mix,5,5652.895112315318,10,True
0,mix,5,5658.215071481843,10,True
0,mix,10,5711.7323993999335,1,True
0,mix,9,5677.571971300114,2,True
0,mix,14,5781.543165836924,0,True
0,mix,5,5648.741411268896,10,True
0,mix,3,5646.419377892825,15,True
0,mix,7,5655.285829820686,6,True
0,mix,4,5587.233657261706,12,True
0,mix,6,5666.712034385786,8,True
0,mix,5,5630.654550743005,10,True
0,mix,5,5693.225587330965,10,True
0,mix,5,5635.142616012166,10,True
0,mix,7,5687.998473094127,6,True
0,mix,3,5589.211645941212,15,True
0,mix,7,5666.016448644384,6,True
0,mix,3,5612.3130466505845,15,True
0,mix,7,5647.513234373298,6,True
0,mix,4,5638.877614505651,12,True
0,mix,4,5614.1718778820705,12,True
0,mix,4,5658.150534366232,12,True
0,mix,6,5650.727048899092,8,True
0,mix,7,5654.085226737419,6,True
0,mix,2,5607.834160132717,18,True
0,mix,11,5698.436323525332,0,True
0,mix,5,5625.304369369216,10,True
0,mix,6,5645.23541532634,8,True
0,mix,10,5667.742863437753,1,True
0,mix,4,5635.822745473506,12,True
0,mix,5,5664.987033671193,10,True
0,mix,6,5700.365277742044,8,True
0,mix,3,5642.149518659563,15,True
0,mix,4,5624.8672704990795,12,True
0,mix,11,5735.846357546008,0,True
0,mix,1,5606.5275827408,25,True
0,mix,8,5655.783938745034,4,True
0,mix,10,5688.480110675822,1,True
0,mix,9,5718.3762330232685,2,True
0,mix,1,5588.160366567911,25,True
0,mix,5,5641.350687742082,10,True
0,mix,13,5743.976312882444,0,True
0,mix,5,5633.901383040282,10,True
0,mix,10,5697.031355806932,1,True
0,mix,12,5736.102718145589,0,True
0,mix,2,5646.457596750325,18,True
0,mix,4,5649.243905020327,12,True
0,mix,6,5677.229548826263,8,True
0,mix,9,5690.669845155412,2,True
0,mix,10,5704.910393297716,1,True
0,mix,7,5690.497371395147,6,True
0,mix,7,5648.555376195456,6,True
0,mix,6,5684.2186381847005,8,True
0,mix,3,5637.467442957941,15,True
0,mix,4,5650.26562238199,12,True
0,mix,5,5661.588576268875,10,True
0,mix,3,5589.402564220372,15,True
0,mix,17,5773.889526350058,0,True
0,mix,10,5684.634240287707,1,True
0,mix,3,5630.402818848288,15,True
0,mix,3,5661.387910940565,15,True
0,mix,8,5720.692771947545,4,True
0,mix,10,5701.413017093324,1,True
0,mix,5,5693.949169733866,10,True
0,mix,15,5758.9858394308085,0,True
0,mix,2,5601.13387024785,18,True
0,mix,4,5653.915205787987,12,True
0,mix,7,5696.66638630992,6,True
0,mix,4,5608.201431653662,12,True
0,mix,8,5681.441810504959,4,True
0,mix,7,5674.318891606955,6,True
0,mix,10,5684.452129171691,1,True
0,mix,14,5733.696528434438,0,True
0,mix,6,5655.159397101062,8,True
0,mix,3,5618.806110829279,15,True
0,mix,18,5746.324140544947,0,True
0,mix,4,5630.632002335116,12,True
0,mix,7,5680.862835332893,6,True
0,mix,3,5619.6072722972185,15,True
0,mix,5,5660.273450987044,10,True
0,mix,6,5645.559667259304,8,True
0,mix,8,5678.31977065366,4,True
0,mix,3,5637.228244760668,15,True
0,mix,5,5629.958973294798,10,True
0,mix,3,5655.6981047621475,15,True
0,mix,2,5606.917069672355,18,True
0,mix,4,5692.373139820757,12,True
0,mix,11,5753.43502600196,0,True
0,mix,12,5744.404471516399,0,True
0,mix,4,5629.681255431851,12,True
0,mix,3,5624.360371511811,15,True
0,mix,3,5615.927732809054,15,True
0,mix,6,5675.593821208935,8,True
0,mix,7,5672.359929503572,6,True
0,mix,3,5595.1048899908,15,True
0,mix,16,5720.226256443618,0,True
0,mix,8,5714.941795922214,4,True
0,mix,4,5599.192468269797,12,True
0,mix,2,5623.234771993115,18,True
0,mix,7,5710.633962798869,6,True
0,mix,10,5726.2003030699925,1,True
0,mix,3,5638.875712089113,15,True
0,mix,6,5650.984118891074,8,True
0,mix,7,5677.151962132958,6,True
0,mix,5,5653.331450820881,10,True
0,mix,5,5663.316392677213,10,True
0,mix,2,5600.37196723116,18,True
0,mix,7,5719.940054556242,6,True
0,mix,15,5751.999226285404,0,True
