gp_idx,reward_type,final_position,total_time,points,changed_compound
0,mix,11,5718.329171404299,0,True
0,mix,4,5670.010735026776,12,True
0,mix,12,5800.519801937471,0,True
0,mix,11,5729.329706426382,0,True
0,mix,3,5736.334533036524,15,True
0,mix,10,5780.150185232899,1,True
0,mix,7,5780.552615007755,6,True
0,mix,6,5679.8086998357685,8,True
0,mix,5,5841.916114889856,10,True
0,mix,6,5695.173085929527,8,True
0,mix,4,5661.685763548429,12,True
0,mix,6,5697.1419195218405,8,True
0,mix,7,5727.727153375267,6,True
0,mix,4,5650.665377917063,12,True
0,mix,3,5746.8744940846345,15,True
0,mix,5,5678.126310871235,10,True
0,mix,2,5643.296922022004,18,True
0,mix,7,5651.2836682995885,6,True
0,mix,4,5632.946171559978,12,True
0,mix,5,5654.974894989545,10,True
0,mix,7,5701.241268294323,6,True
0,mix,7,5798.56711869906,6,True
0,mix,4,5744.268324442363,12,True
0,mix,11,5825.38195498074,0,True
0,mix,8,5706.622825662662,4,True
0,mix,4,5682.349208772258,12,True
0,mix,3,5715.674937069533,15,True
0,mix,5,5685.036255563802,10,True
0,mix,9,5732.264702168071,2,True
0,mix,13,5826.251287942331,0,True
0,mix,17,5879.264784060227,0,True
0,mix,5,5773.928492604669,10,True
0,mix,7,5994.189928077341,6,True
0,mix,7,5775.909130727612,6,True
0,mix,9,5723.697932731279,2,True
0,mix,6,5653.188295221692,8,True
0,mix,6,5703.858335720402,8,True
0,mix,7,5700.845088027469,6,True
0,mix,2,5734.571062847657,18,True
0,mix,5,5798.755937555643,10,True
0,mix,6,5677.711665123442,8,True
0,mix,10,5728.581177678233,1,True
0,mix,7,5631.2697324896435,6,True
0,mix,4,5731.537074378691,12,True
0,mix,13,5743.376630665062,0,True
0,mix,3,5679.1398124121915,15,True
0,mix,6,5752.036590009201,8,True
0,mix,12,5703.593478481768,0,True
0,mix,7,5819.555952492165,6,True
0,mix,3,5678.3242211547495,15,True
0,mix,3,5742.667616739661,15,True
0,mix,2,5596.883855762164,18,True
0,mix,3,5655.597240825796,15,True
0,mix,8,5681.082291464063,4,True
0,mix,2,5595.5256308140415,18,True
0,mix,6,5632.987192576064,8,True
0,mix,5,5970.785496700738,10,True
0,mix,8,5711.575325996333,4,True
0,mix,3,5755.382295873087,15,True
0,mix,4,5642.0890071836275,12,True
0,time,20,5831.137407557734,0,True
0,time,12,5818.546410980836,0,True
0,time,7,5681.46505218635,6,True
0,time,3,5664.189203406988,15,True
0,time,4,5669.767604142207,12,True
0,time,8,5680.961533570545,4,True
0,time,13,5751.27458219544,0,True
0,time,2,5602.093723171349,18,True
0,time,7,5673.82328938627,6,True
0,time,11,5747.345595450735,0,True
0,time,5,5750.404188628013,10,True
0,time,4,5665.275688788154,12,True
0,time,10,5714.464602408553,1,True
0,time,6,5683.890255457772,8,True
0,time,4,5720.9298525278955,12,True
0,time,6,5704.929143012863,8,True
0,time,13,5717.592186736035,0,True
