gp_idx,algo,display_name,real_starting_pos,real_finishing_pos,final_position,total_reward,pit_stops,changed_compound
0,A2C,Bahrain GP (ALO),6,9,8,-3652.349861145019,2,True
0,A2C,Bahrain GP (ALO),6,9,4,-646.8628311157227,3,True
0,A2C,Bahrain GP (ALO),6,9,8,-3646.188461303711,2,True
0,A2C,Bahrain GP (ALO),6,9,11,-5301.867614746094,2,True
0,A2C,Bahrain GP (ALO),6,9,8,-3427.630760192871,2,True
0,A2C,Bahrain GP (ALO),6,9,10,-5055.044281005859,2,True
0,A2C,Bahrain GP (ALO),6,9,4,-436.9484634399414,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-3110.275718688965,1,True
0,A2C,Bahrain GP (ALO),6,9,11,-5301.888870239258,3,True
0,A2C,Bahrain GP (ALO),6,9,4,-852.0035400390625,2,True
0,A2C,Bahrain GP (ALO),6,9,9,-4596.006546020508,2,True
0,A2C,Bahrain GP (ALO),6,9,10,-4631.086074829102,1,True
0,A2C,Bahrain GP (ALO),6,9,6,-1917.30281829834,1,True
0,A2C,Bahrain GP (ALO),6,9,6,-2361.8278274536133,2,True
0,A2C,Bahrain GP (ALO),6,9,9,-4405.445640563965,2,True
0,A2C,Bahrain GP (ALO),6,9,14,-5542.012077331543,1,True
0,A2C,Bahrain GP (ALO),6,9,7,-2885.5102310180664,3,True
0,A2C,Bahrain GP (ALO),6,9,8,-3650.1678161621094,3,True
0,A2C,Bahrain GP (ALO),6,9,7,-2881.488105773926,3,True
0,A2C,Bahrain GP (ALO),6,9,9,-4381.337257385254,3,True
0,A2C,Bahrain GP (ALO),6,9,6,-2123.629776000977,2,True
0,A2C,Bahrain GP (ALO),6,9,3,432.36268615722656,3,True
0,A2C,Bahrain GP (ALO),6,9,4,-846.1185989379883,2,True
0,A2C,Bahrain GP (ALO),6,9,5,-1173.54638671875,2,True
0,A2C,Bahrain GP (ALO),6,9,8,-3857.46989440918,3,True
0,A2C,Bahrain GP (ALO),6,9,4,-1063.8522720336914,2,True
0,A2C,Bahrain GP (ALO),6,9,17,-6427.284767150879,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-2921.333068847656,3,True
0,A2C,Bahrain GP (ALO),6,9,6,-2340.046028137207,2,True
0,A2C,Bahrain GP (ALO),6,9,11,-5087.708534240723,2,True
0,A2C,Bahrain GP (ALO),6,9,16,-6249.0377197265625,1,True
0,A2C,Bahrain GP (ALO),6,9,8,-3426.763816833496,2,True
0,A2C,Bahrain GP (ALO),6,9,8,-3852.736907958984,3,True
0,A2C,Bahrain GP (ALO),6,9,11,-5289.390678405762,3,True
0,A2C,Bahrain GP (ALO),6,9,6,-2137.217674255371,3,True
0,A2C,Bahrain GP (ALO),6,9,3,201.1852264404297,4,True
0,A2C,Bahrain GP (ALO),6,9,2,1486.0624618530271,2,True
0,A2C,Bahrain GP (ALO),6,9,15,-5897.808815002441,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-2873.188636779785,3,True
0,A2C,Bahrain GP (ALO),6,9,13,-5599.9168701171875,2,True
0,A2C,Bahrain GP (ALO),6,9,10,-4836.65323638916,2,True
0,A2C,Bahrain GP (ALO),6,9,11,-5299.814498901367,3,True
0,A2C,Bahrain GP (ALO),6,9,11,-5509.501762390137,1,True
0,A2C,Bahrain GP (ALO),6,9,5,-1588.0304946899414,3,True
0,A2C,Bahrain GP (ALO),6,9,9,-4381.024215698242,2,True
0,A2C,Bahrain GP (ALO),6,9,4,-642.8371887207031,2,True
0,A2C,Bahrain GP (ALO),6,9,10,-4828.703887939453,1,True
0,A2C,Bahrain GP (ALO),6,9,5,-1390.2015075683594,3,True
0,A2C,Bahrain GP (ALO),6,9,13,-5811.326675415039,3,True
0,A2C,Bahrain GP (ALO),6,9,14,-6397.460975646973,4,True
0,A2C,Bahrain GP (ALO),6,9,7,-2874.4762649536133,2,True
0,A2C,Bahrain GP (ALO),6,9,10,-5067.236755371094,2,True
0,A2C,Bahrain GP (ALO),6,9,5,-1383.6045608520508,1,True
0,A2C,Bahrain GP (ALO),6,9,15,-5884.038131713867,1,True
0,A2C,Bahrain GP (ALO),6,9,6,-2345.326919555664,3,True
0,A2C,Bahrain GP (ALO),6,9,3,207.5429458618164,1,True
0,A2C,Bahrain GP (ALO),6,9,9,-4609.215026855469,4,True
0,A2C,Bahrain GP (ALO),6,9,7,-2876.025588989258,2,True
0,A2C,Bahrain GP (ALO),6,9,9,-4591.782775878906,4,True
0,A2C,Bahrain GP (ALO),6,9,9,-4385.975997924805,2,True
0,A2C,Bahrain GP (ALO),6,9,15,-5683.459274291992,2,True
0,A2C,Bahrain GP (ALO),6,9,13,-5592.3095779418945,3,True
0,A2C,Bahrain GP (ALO),6,9,9,-4604.237548828125,4,True
0,A2C,Bahrain GP (ALO),6,9,3,417.55369567871094,2,True
0,A2C,Bahrain GP (ALO),6,9,6,-2355.8034591674805,3,True
0,A2C,Bahrain GP (ALO),6,9,7,-3104.7356338500977,3,True
0,A2C,Bahrain GP (ALO),6,9,11,-5443.641860961914,1,True
0,A2C,Bahrain GP (ALO),6,9,12,-5447.743133544922,3,True
0,A2C,Bahrain GP (ALO),6,9,16,-6049.927375793457,2,True
0,A2C,Bahrain GP (ALO),6,9,3,414.6723709106446,3,True
0,A2C,Bahrain GP (ALO),6,9,15,-5681.959251403809,2,True
0,A2C,Bahrain GP (ALO),6,9,6,-2118.4614486694336,2,True
0,A2C,Bahrain GP (ALO),6,9,6,-2484.4242401123047,2,True
0,A2C,Bahrain GP (ALO),6,9,2,1479.235496520996,3,True
0,A2C,Bahrain GP (ALO),6,9,5,-1382.8939514160156,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-3102.597183227539,3,True
0,A2C,Bahrain GP (ALO),6,9,2,1470.1727905273438,3,True
0,A2C,Bahrain GP (ALO),6,9,16,-6052.775215148926,2,True
0,A2C,Bahrain GP (ALO),6,9,10,-4847.027557373047,2,True
0,A2C,Bahrain GP (ALO),6,9,3,424.6570510864258,3,True
0,A2C,Bahrain GP (ALO),6,9,7,-3114.8494186401367,3,True
0,A2C,Bahrain GP (ALO),6,9,6,-2136.4201049804688,2,True
0,A2C,Bahrain GP (ALO),6,9,9,-4393.6291427612305,3,True
0,A2C,Bahrain GP (ALO),6,9,12,-5436.737533569336,2,True
0,A2C,Bahrain GP (ALO),6,9,11,-5510.240676879883,3,True
0,A2C,Bahrain GP (ALO),6,9,8,-3639.3705291748047,3,True
0,A2C,Bahrain GP (ALO),6,9,8,-3855.497573852539,3,True
0,A2C,Bahrain GP (ALO),6,9,15,-5685.477157592773,2,True
0,A2C,Bahrain GP (ALO),6,9,9,-4395.745979309082,3,True
0,A2C,Bahrain GP (ALO),6,9,1,3711.884422302246,2,True
0,A2C,Bahrain GP (ALO),6,9,19,-6498.736747741699,2,True
0,A2C,Bahrain GP (ALO),6,9,13,-5379.560417175293,2,True
0,A2C,Bahrain GP (ALO),6,9,3,418.73526763916016,2,True
0,A2C,Bahrain GP (ALO),6,9,6,-2113.3017807006836,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-2667.331039428711,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-3107.500061035156,2,True
0,A2C,Bahrain GP (ALO),6,9,3,419.0502624511719,3,True
0,A2C,Bahrain GP (ALO),6,9,11,-5292.879653930664,2,True
0,A2C,Bahrain GP (ALO),6,9,5,-1160.3643646240234,1,True
0,A2C,Bahrain GP (ALO),6,9,6,-2138.214515686035,2,True
0,A2C,Bahrain GP (ALO),6,9,2,1474.519172668457,1,True
0,A2C,Bahrain GP (ALO),6,9,9,-4385.635513305664,2,True
0,A2C,Bahrain GP (ALO),6,9,10,-4983.099815368652,1,True
0,A2C,Bahrain GP (ALO),6,9,8,-3854.9777221679688,3,True
0,A2C,Bahrain GP (ALO),6,9,4,-638.4920425415039,2,True
0,A2C,Bahrain GP (ALO),6,9,16,-5833.64714050293,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-2888.818672180176,3,True
0,A2C,Bahrain GP (ALO),6,9,10,-5055.314590454102,1,True
0,A2C,Bahrain GP (ALO),6,9,11,-5274.248321533203,3,True
0,A2C,Bahrain GP (ALO),6,9,8,-3850.3227310180664,2,True
0,A2C,Bahrain GP (ALO),6,9,3,200.1999282836914,2,True
0,A2C,Bahrain GP (ALO),6,9,6,-2145.292526245117,2,True
0,A2C,Bahrain GP (ALO),6,9,4,-855.4085922241211,1,True
0,A2C,Bahrain GP (ALO),6,9,11,-5080.065444946289,2,True
0,A2C,Bahrain GP (ALO),6,9,17,-6205.754318237305,1,True
0,A2C,Bahrain GP (ALO),6,9,11,-5284.475685119629,3,True
0,A2C,Bahrain GP (ALO),6,9,14,-5970.021385192871,2,True
0,A2C,Bahrain GP (ALO),6,9,10,-4632.898681640625,2,True
0,A2C,Bahrain GP (ALO),6,9,14,-5963.136962890625,2,True
0,A2C,Bahrain GP (ALO),6,9,10,-4833.977340698242,3,True
0,A2C,Bahrain GP (ALO),6,9,8,-3644.751396179199,1,True
0,A2C,Bahrain GP (ALO),6,9,11,-5424.536689758301,1,True
0,A2C,Bahrain GP (ALO),6,9,3,202.5338363647461,3,True
0,A2C,Bahrain GP (ALO),6,9,11,-5291.208648681641,3,True
0,A2C,Bahrain GP (ALO),6,9,2,1475.6413116455078,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-3095.3248443603516,3,True
0,A2C,Bahrain GP (ALO),6,9,5,-1391.3956832885742,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-2677.109436035156,2,True
0,A2C,Bahrain GP (ALO),6,9,8,-3634.143974304199,2,True
0,A2C,Bahrain GP (ALO),6,9,4,-857.3370590209961,3,True
0,A2C,Bahrain GP (ALO),6,9,15,-6127.870185852051,2,True
0,A2C,Bahrain GP (ALO),6,9,6,-2134.528434753418,3,True
0,A2C,Bahrain GP (ALO),6,9,11,-5302.321136474609,2,True
0,A2C,Bahrain GP (ALO),6,9,4,-631.3917846679688,3,True
0,A2C,Bahrain GP (ALO),6,9,10,-5404.840911865234,4,True
0,A2C,Bahrain GP (ALO),6,9,3,422.31156158447266,3,True
0,A2C,Bahrain GP (ALO),6,9,7,-2889.8357543945312,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-2883.188545227051,3,True
0,A2C,Bahrain GP (ALO),6,9,12,-5653.816329956055,4,True
0,A2C,Bahrain GP (ALO),6,9,15,-5687.821075439453,2,True
0,A2C,Bahrain GP (ALO),6,9,11,-5294.606369018555,2,True
0,A2C,Bahrain GP (ALO),6,9,11,-5277.836013793945,3,True
0,A2C,Bahrain GP (ALO),6,9,5,-1598.2480010986328,4,True
0,A2C,Bahrain GP (ALO),6,9,12,-5445.722129821777,1,True
0,A2C,Bahrain GP (ALO),6,9,5,-1387.7242584228516,2,True
