gp_idx,algo,display_name,final_position,total_reward,pit_stops,changed_compound
0,A2C,Bahrain GP (ALO),8,-3435.9848556518555,2,True
0,A2C,Bahrain GP (ALO),7,-2676.375473022461,1,True
0,A2C,Bahrain GP (ALO),5,-1297.7378692626953,2,True
0,A2C,Bahrain GP (ALO),14,-5658.237747192383,2,True
0,A2C,Bahrain GP (ALO),3,594.8176498413086,2,True
0,A2C,Bahrain GP (ALO),6,-1921.4463653564453,2,True
0,A2C,Bahrain GP (ALO),16,-5968.929382324219,2,True
0,A2C,Bahrain GP (ALO),9,-4297.26237487793,2,True
0,A2C,Bahrain GP (ALO),19,-6429.412536621094,1,True
0,A2C,Bahrain GP (ALO),18,-6364.65998840332,1,True
0,A2C,Bahrain GP (ALO),14,-5821.148735046387,3,True
0,A2C,Bahrain GP (ALO),6,-1952.6537246704104,2,True
0,A2C,Bahrain GP (ALO),8,-3540.1312255859375,2,True
0,A2C,Bahrain GP (ALO),8,-3564.942756652832,1,True
0,A2C,Bahrain GP (ALO),8,-3425.5574111938477,2,True
0,A2C,Bahrain GP (ALO),4,-421.19622802734375,2,True
0,A2C,Bahrain GP (ALO),5,-1171.174789428711,1,True
0,A2C,Bahrain GP (ALO),4,-416.1903381347656,2,True
0,A2C,Bahrain GP (ALO),7,-2888.3607864379883,2,True
0,A2C,Bahrain GP (ALO),1,3929.662689208984,2,True
0,A2C,Bahrain GP (ALO),14,-5568.410087585449,1,True
0,A2C,Bahrain GP (ALO),9,-4186.247200012207,2,True
0,A2C,Bahrain GP (ALO),4,-422.0302505493164,2,True
0,A2C,Bahrain GP (ALO),15,-5897.867347717285,2,True
0,A2C,Bahrain GP (ALO),5,-1177.9843826293943,1,True
0,A2C,Bahrain GP (ALO),9,-4425.16471862793,2,True
0,A2C,Bahrain GP (ALO),3,379.9374237060547,3,True
0,A2C,Bahrain GP (ALO),11,-5087.911087036133,1,True
0,A2C,Bahrain GP (ALO),5,-1184.5652770996094,1,True
0,A2C,Bahrain GP (ALO),5,-1719.9715728759766,1,True
0,A2C,Bahrain GP (ALO),15,-5785.386650085449,2,True
0,A2C,Bahrain GP (ALO),5,-1293.0366592407229,2,True
0,A2C,Bahrain GP (ALO),4,-417.6469421386719,2,True
0,A2C,Bahrain GP (ALO),12,-5358.1513748168945,2,True
0,A2C,Bahrain GP (ALO),20,-6448.009983062744,2,True
0,A2C,Bahrain GP (ALO),6,-1931.0272369384768,1,True
0,A2C,Bahrain GP (ALO),3,418.9889526367187,2,True
0,A2C,Bahrain GP (ALO),8,-3452.6658782958984,2,True
0,A2C,Bahrain GP (ALO),9,-4219.298179626465,2,True
0,A2C,Bahrain GP (ALO),5,-1411.9768447875977,2,True
0,A2C,Bahrain GP (ALO),8,-3897.8141860961914,0,True
0,A2C,Bahrain GP (ALO),3,289.85581970214844,1,True
0,A2C,Bahrain GP (ALO),20,-11576.790481567385,0,False
